p,min1,max1,min2,max2,name1,name2
0.010069082,266,315,66,66,AQI Data PM10,Weather Data windspeed
0.010199426,266,356,43,43,AQI Data PM10,Weather Data windspeed
0.01016684,266,410,24,24,AQI Data PM10,Weather Data windspeed
0.01000391,415,415,24,24,AQI Data PM10,Weather Data windspeed
0.013490615,6,23,12,13,AQI Data PM10,Weather Data windspeed
0.01156804,6,23,22,23,AQI Data PM10,Weather Data windspeed
0.013490615,7,23,12,23,AQI Data PM10,Weather Data windspeed
0.010069082,25,331,12,23,AQI Data PM10,Weather Data windspeed
0.01000391,333,333,12,23,AQI Data PM10,Weather Data windspeed
0.01016684,337,337,12,23,AQI Data PM10,Weather Data windspeed
0.01000391,25,360,22,23,AQI Data PM10,Weather Data winddir
0.01000391,25,367,12,13,AQI Data PM10,Weather Data winddir
0.01000391,25,386,22,22,AQI Data PM10,Weather Data winddir
0.01000391,25,402,13,13,AQI Data PM10,Weather Data winddir
0.010232013,3,10,20,20,AQI Data PM25,Weather Data winddir
0.010101668,12,12,20,20,AQI Data PM25,Weather Data winddir
0.010069082,12,12,25,27,AQI Data PM25,Weather Data winddir
0.01016684,19,19,31,40,AQI Data PM25,Weather Data winddir
0.010264599,23,24,31,40,AQI Data PM25,Weather Data winddir
0.01000391,15,31,31,34,AQI Data PM25,Weather Data winddir
0.01000391,16,31,31,38,AQI Data PM25,Weather Data temperature
0.01000391,17,31,31,39,AQI Data PM25,Weather Data temperature
0.01000391,26,31,31,40,AQI Data PM25,Weather Data temperature
0.010069082,45,45,31,42,AQI Data PM25,Weather Data temperature
0.010101668,53,53,30,43,AQI Data PM25,Weather Data temperature
0.010362357,55,55,29,42,AQI Data PM25,Weather Data temperature
0.01000391,59,59,28,43,AQI Data PM25,Weather Data temperature
0.01000391,12,61,32,33,AQI Data PM25,Weather Data temperature
0.01000391,14,61,32,34,AQI Data PM25,Weather Data temperature
